Reaction ID,Objective Value
R03472,21.947873799725627
R03503,21.947873799725627
R03504,21.947873799725627
R03530,21.947873799725627
R03531,21.947873799725627
R03544,21.947873799725627
R03549,21.947873799725627
R03595,21.947873799725627
R03601,21.947873799725627
R03630,21.947873799725627
R03632,21.947873799725627
R03634,21.947873799725627
R03743,21.947873799725627
R03751,21.947873799725627
R03774,21.947873799725627
R03777,21.947873799725627
R03778,21.947873799725627
R03824,21.947873799725627
R03845,21.947873799725627
R03857,21.947873799725627
R03858,21.947873799725627
R03869,21.947873799725627
R03877,21.947873799725627
R03884,21.947873799725627
R03893,21.947873799725627
R03896,21.947873799725627
R03898,21.947873799725627
R03936,21.947873799725627
R03943,21.947873799725627
R03947,21.947873799725627
R03948,21.947873799725627
R03950,21.947873799725627
R03955,21.947873799725627
R03970,21.947873799725627
R03971,21.947873799725627
R03980,21.947873799725627
R03982,21.947873799725627
R03990,21.947873799725627
R03991,21.947873799725627
R04000,21.947873799725627
R04025,21.947873799725627
R04030,21.947873799725627
R04031,21.947873799725627
R04049,21.947873799725627
R04065,21.947873799725627
R04095,21.947873799725627
R04112,21.947873799725627
R04137,21.947873799725627
R04138,21.947873799725627
R04148,21.947873799725627
R04150,21.947873799725627
R04163,21.947873799725627
R04170,21.947873799725627
R04172,21.947873799725627
R04188,21.947873799725627
R04203,21.947873799725627
R04204,21.947873799725627
R04206,21.947873799725627
R04218,21.947873799725627
R04221,21.947873799725627
R04224,21.947873799725627
R04230,21.947873799725627
R04231,21.94787379972565
R04257,21.947873799725638
R04258,21.947873799725638
R04292,21.947873799725638
R04300,21.947873799725638
R04306,21.947873799725638
R04318,21.947873799725638
R04326,21.947873799725638
R04378,21.947873799725638
R04379,21.947873799725638
R04391,21.947873799725638
R04420,21.947873799725638
R04444,21.947873799725638
R04445,21.947873799725638
R04457,21.947873799725638
R04464,21.947873799725638
R04482,21.947873799725638
R04489,21.947873799725638
R04506,21.947873799725638
R04509,21.947873799725638
R04546,21.947873799725638
R04547,21.947873799725638
R04573,21.947873799725638
R04592,21.947873799725638
R04617,21.947873799725638
R04620,21.947873799725638
R04639,21.947873799725638
R04674,21.947873799725638
R04678,21.947873799725638
R04734,21.947873799725638
R04737,21.947873799725638
R04738,21.947873799725638
R04739,21.947873799725638
R04740,21.947873799725638
R04741,21.947873799725638
R04742,21.947873799725638
R04743,21.947873799725638
R04744,21.947873799725638
R04745,21.947873799725638
R04746,21.947873799725638
R04747,21.947873799725638
R04748,21.947873799725638
R04749,21.947873799725638
R04751,21.947873799725638
R04754,21.947873799725638
R04770,21.947873799725638
R04771,21.947873799725638
R04777,21.947873799725638
R04783,21.947873799725638
R04785,21.947873799725638
R04801,21.947873799725638
R04805,21.947873799725638
R04810,21.947873799725638
R04812,21.947873799725638
R04831,21.947873799725638
R04834,21.947873799725638
R04844,21.947873799725638
R04847,21.947873799725638
R04849,21.947873799725638
R04868,21.947873799725638
R04880,21.947873799725638
R04885,21.947873799725638
R04890,21.947873799725638
R04893,21.947873799725638
R04894,21.947873799725638
R04903,21.947873799725638
R04907,21.947873799725638
R04908,21.947873799725638
R04909,21.947873799725638
R04928,21.947873799725638
R04929,21.947873799725638
R04930,21.947873799725638
R04936,21.947873799725638
R04941,21.947873799725638
R04942,21.947873799725638
R04944,21.947873799725638
R04945,21.947873799725638
R04946,21.947873799725638
R04972,21.947873799725638
R04986,21.947873799725638
R04990,21.947873799725638
R04998,21.947873799725638
R05032,21.947873799725638
R05046,21.947873799725638
R05048,21.947873799725638
R05050,21.947873799725638
R05051,21.947873799725638
R05062,21.947873799725638
R05066,21.947873799725638
R05085,21.947873799725638
R05086,21.947873799725638
R05133,21.947873799725638
R05134,21.947873799725638
R05149,21.947873799725638
R05150,21.947873799725638
R05165,21.947873799725638
R05168,21.947873799725638
R05177,21.947873799725638
R05180,21.947873799725638
R05181,21.947873799725638
R05198,21.947873799725638
R05217,21.947873799725638
R05220,21.947873799725638
R05221,21.947873799725638
R05222,21.947873799725638
R05223,21.947873799725638
R05224,21.947873799725638
