reaction	substrate
R02056	C00019
R02056	C00350
R03424	C00019
R03424	C01241
R01324	C00158
R01325	C00158
R01900	C00311
R03165	C01024
R00787	C00014
R02000	C00340
R01403	C00173
R01404	C00173
R04429	C05745
R04430	C05745
R04724	C05223
R04725	C05223
R04955	C05749
R04956	C05749
R04958	C05752
R04959	C05752
R04961	C05755
R04962	C05755
R04966	C05761
R04967	C05761
R04969	C05764
R04970	C05764
R07765	C16221
R10118	C20374
R10122	C20378
R00310	C02191
R11329	C21284
R12215	C12455
R01388	C00258
R02527	C00937
R01087	C01384
R00342	C00149
R07136	C11537
R04420	C04188
R07395	C15650
R07392	C04582
R07363	C00007
R07363	C15606
R07364	C00007
R07364	C15606
R05627	C04574
R07770	C16241
R07771	C16238
R07771	C16240
R11143	C16240
R11143	C16241
R12429	C06423
R12429	C22158
R12433	C16241
R12433	C22157
R12434	C02147
R12449	C16241
R12449	C22158
R05030	C00014
R05030	C05893
R00519	C00058
R09838	C00007
R09838	C00582
R09820	C19946
R09836	C19975
R09840	C00582
R02539	C07086
R02065	C00353
R04218	C03427
R07270	C03427
R10177	C00353
R04000	C00024
R04000	C02630
R05509	C00024
R05509	C00511
R06943	C14143
R02491	C01011
R00750	C00022
R00750	C00084
R05708	C00028
R05708	C04083
R03595	C01528
R01298	C00007
R01298	C00156
R01174	C00009
R01174	C00136
R01542	C00204
R04988	C00019
R04988	C05811
R08769	C00019
R08769	C17551
R12657	C00019
R12657	C21860
R00132	C01353
R10092	C00288
R02689	C00029
R02689	C00641
R04377	C00029
R04377	C04046
R12898	C00641
R12898	G10608
R12899	G10608
R12899	G13181
R07322	C00751
R07323	C00751
R04786	C00028
R04786	C05413
R04787	C00028
R04787	C05414
R07510	C05421
R09652	C02061
R09652	C05421
R09653	C02061
R09653	C05421
R09654	C02061
R09654	C19765
R01631	C00007
R01631	C00230
R03549	C00007
R03549	C01424
R03307	C01278
R02991	C03586
R03470	C01278
R09819	C00007
R09819	C01847
R09819	C19944
R00215	C00497
R01751	C00898
R02545	C00552
R06180	C00898
R01169	C00019
R01169	C00135
R11021	C20995
R11013	C00007
R11013	C00669
R11013	C05575
R10993	C00025
R10993	C02356
R00685	C00078
R00699	C00079
R00736	C00082
R02080	C00355
R02701	C00643
R04909	C05638
R03425	C00037
R03425	C02051
R02030	C00269
R02030	C00344
R03492	C06135
R04184	C01132
R04184	C04737
R04586	C04884
R05963	G00094
R06001	G00123
R06004	G00109
R07809	G13074
R07810	G13073
R11316	G13056
R12963	C22467
R03037	C00885
R01717	C00251
R01505	C04171
R10279	C03187
R12048	C00007
R12048	C00412
R00476	C00028
R00476	C00160
R00946	C00155
R00946	C00440
R00177	C00009
R00177	C00013
R00177	C00019
R04771	C05335
R00367	C00019
R00367	C00037
R09279	C00989
R01478	C03033
R04979	C00030
R04979	C05787
R07818	G13040
R08127	C04900
R08260	C11376
R10830	G00526
R01384	C00167
R03610	C00007
R03610	C00662
R03610	C01561
R11324	C00007
R11324	C00662
R11324	C07712
R01196	C00024
R01196	C00138
R01197	C00091
R01197	C00138
R01518	C00631
R00114	C00025
R00248	C00025
R02662	C00630
R02662	C15973
R03174	C15973
R03174	C15980
R04097	C02939
R04097	C15973
R10998	C00100
R10998	C15973
R00410	C00091
R00410	C00164
R07945	C13747
R08225	C00007
R08225	C03024
R08225	C12673
R08324	C07185
R08325	C00007
R08325	C07185
R08326	C00007
R08326	C07185
R08327	C00007
R08327	C07185
R09421	C00007
R09421	C16453
R09424	C00007
R09424	C19574
R09425	C00007
R09425	C19574
R01954	C00049
R01954	C00327
R07512	C15858
R01625	C03688
R03925	C02350
R07236	C00019
R07236	C02483
R07504	C00019
R07504	C14151
R10491	C00019
R10491	C14155
R10492	C00019
R10492	C14156
R00889	C00096
R07672	C00096
R07673	C15925
R00673	C00078
R01383	C00167
R01383	C01335
R02358	C00167
R02358	C00468
R02389	C00167
R02389	C00486
R02478	C00167
R02478	C00523
R02502	C00167
R02502	C00535
R02902	C00167
R02902	C00777
R03091	C00167
R03091	C00951
R04352	C00167
R04352	C04373
R04353	C00167
R04353	C05299
R04354	C00167
R04354	C05302
R04683	C00167
R04683	C05141
R07106	C00167
R07106	C07490
R08259	C00167
R08259	C11173
R08261	C00167
R08261	C06174
R08262	C00167
R08262	C01516
R08263	C00167
R08263	C01516
R08615	C00167
R09426	C00167
R09426	C19574
R09427	C00167
R09427	C19574
R09428	C00167
R09428	C19645
R04520	C00353
R04520	C04590
R12067	C00007
R12067	C00030
R12067	C19859
R05320	C00007
R05320	C00026
R05320	C00245
R11346	C00007
R11346	C21295
R11578	C00007
R11578	C21442
R00839	C04534
R05133	C06187
R05134	C06188
R02082	C00418
R11319	C00068
R12309	C22072
R12311	C03401
R12311	C22073
R12308	C00158
R12308	C03401
R12312	C00026
R12312	C22074
R11655	C21559
R11705	C00025
R11705	C01005
R00774	C00086
R00774	C00288
R05338	C00067
R05338	C00199
R05339	C06019
R09780	C06019
R01736	C03451
R05606	C00514
R02454	C00514
R00856	C00093
R02279	C00679
R06268	C00019
R06268	C04536
R06269	C00019
R06269	C11829
R06270	C00019
R06270	C11830
R01624	C00024
R01624	C00229
R01706	C05764
R08159	C05761
R04427	C00019
R04427	C05437
R07481	C00019
R07481	C01902
R02037	C00019
R02037	C00346
R06868	C00019
R06868	C01210
R06869	C00019
R06869	C13482
R03391	C04297
R03392	C04297
R07659	C00025
R07659	C16155
R10880	C00062
R10880	C00065
R10880	C12323
R00221	C00740
R01157	C00179
R02213	C00007
R02213	C00410
R02213	C03024
R02838	C00007
R02838	C03024
R02838	C05497
R03326	C00007
R03326	C01176
R03326	C03024
R03784	C00007
R03784	C01953
R03784	C03024
R03849	C00007
R03849	C03024
R03849	C05498
R04675	C00007
R04675	C03024
R04675	C05138
R02243	C00417
R01649	C01215
R08956	C00025
R08956	C18054
R09884	C00028
R09884	C00280
R09707	C19830
R11493	C19831
R11568	C19831
R11569	C21473
R00782	C00097
R01286	C02291
R02408	C00491
R04941	C05699
R12188	C02882
R01498	C01190
R13178	C03108
R03232	C00095
R03232	C04261
R02071	C01094
R13203	C01094
R02240	C00641
R01071	C00013
R01071	C02739
R04035	C02739
R03877	C00305
R03877	C02191
R03824	C05435
R04801	C05431
R05341	C05432
R06962	C08586
R07856	C05434
R03599	C00030
R03599	C05688
R11528	C00097
R11528	C02743
R07412	C00028
R07412	C15672
R01015	C00118
R01512	C00197
R01061	C00009
R01061	C00118
R01869	C00337
R04457	C04732
R04457	C15556
R00066	C04332
R03458	C04454
R03459	C01304
R01529	C00199
R00974	C00380
R01411	C02376
R02922	C00791
R03940	C00234
R03940	C02430
R03269	C04352
R04231	C00097
R04231	C03492
R12852	C22441
R00965	C01103
R00256	C00064
R00575	C00064
R00575	C00288
R01395	C01563
R10948	C00288
R10949	C00014
R10949	C20969
R01993	C00337
R01397	C00049
R01397	C00169
R00966	C00013
R03084	C00944
R03083	C04691
R02412	C00493
R01714	C01269
R02738	C00031
R02738	C04261
R02780	C01083
R02780	C04261
R04111	C00208
R04111	C04261
R04394	C01451
R04394	C04261
R05132	C04261
R05132	C06186
R05199	C00140
R05199	C04261
R08559	C02713
R08559	C04261
R00717	C00160
R00336	C01228
R00190	C00013
R04378	C00013
R04378	C04677
R07456	C00064
R07456	C00118
R07456	C00199
R10089	C00064
R10089	C00117
R10089	C00118
R01801	C00093
R01801	C00269
R01618	C00224
R09304	C02189
R09304	G10610
R09676	C00043
