Metabolite ID,Name,Formula/Composition,Compartment,PubChem ID
C05345,beta-D-Fructose 6-phosphate,C6H13O9P,Cytosol,7723
C02336,beta-D-Fructose,C6H12O6,Cytosol,5386
C00016,FAD,C27H33N9O15P2,Cytosol,3318
C00111,Glycerone phosphate,C3H7O6P,Cytosol,3411
C01352,FADH2,C27H35N9O15P2,Cytosol,4556
C03372,Acylglycerone phosphate,C4H6O7PR,Cytosol,6207
C00339,Long-chain alcohol,CH3OR,Cytosol,3632
C03715,O-Alkylglycerone phosphate,C3H6O6PR,Cytosol,6481
C03129,Long-chain acid anion,C3H4O2R(C2H4)n,Cytosol,6021
C01885,1-Acylglycerol,C4H7O4R,Cytosol,4998
C00116,Glycerol,C3H8O3,Cytosol,3416
C00162,Fatty acid,CHO2R,Cytosol,3462
C00641,"1,2-Diacyl-sn-glycerol",C5H6O5R2,Cytosol,3914
C06364,"1,2-Diacyl-3-alpha-D-glucosyl-sn-glycerol",C11H16O10R2,Cytosol,8600
G10608,Glycan,(UDP-Glc)1,Cytosol,
G13187,Glycan,(DAG)1 (Glc)1,Cytosol,
C16519,2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate,C14H16O9,Cytosol,51090848
C20386,Biotin sulfoxide,C10H16N2O4S,Cytosol,163312124
C00120,Biotin,C10H16N2O3S,Cytosol,3420
C01847,Reduced FMN,C17H23N4O9P,Cytosol,4964
C03114,Dimethylbenzimidazole,C9H10N2,Cytosol,6009
C00279,D-Erythrose 4-phosphate,C4H9O7P,Cytosol,3574
C00446,alpha-D-Galactose 1-phosphate,C6H13O9P,Cytosol,3734
C00103,D-Glucose 1-phosphate,C6H13O9P,Cytosol,3403
C03479,Folinic acid,C20H23N7O7,Cytosol,6294
C00445,"5,10-Methenyltetrahydrofolate",C20H22N7O6,Cytosol,3733
C00075,UTP,C9H15N2O15P3,Cytosol,3375
C03862,Dolichyl phosphate D-mannose,C26H47O9P(C5H8)n,Cytosol,6598
C02189,[Protein]-L-serine,C4H6N2O3R2,Cytosol,5260
C00110,Dolichyl phosphate,C20H37O4P(C5H8)n,Cytosol,3410
C02863,3-O-(alpha-D-Mannosyl)-L-serinyl-[protein],C10H16N2O8R2,Cytosol,5800
G10617,Glycan,(Man)1 (P-Dol)1,Cytosol,
G10622,Glycan,(P-Dol)1,Cytosol,
