Metabolite ID,Name,Formula/Composition,Compartment,PubChem ID,Canonical SMILES
C06329,2-Chloromaleylacetate,C6H5ClO5,Cytosol,8565,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)O)O
C12834,"2,5-Dichloro-carboxymethylenebut-2-en-4-olide",C6H2Cl2O4,Cytosol,583223,CC12CCCC1C3CCC4CCC5(CC4(C3C(=O)C2)C)SCCS5
C12835,"2,5-Dichloro-4-oxohex-2-enedioate",C6H4Cl2O5,Cytosol,583224,[C-]#[O+].[C-]#[O+].C(=C(C(F)(F)F)O)C(=O)C(F)(F)F.[Rh]
C12838,trans-4-Carboxymethylenebut-2-en-4-olide,C6H4O4,Cytosol,583227,CC12CC=C(C1(CC=C2S(=O)(=O)C3=CC=CC=C3)C)S(=O)(=O)C4=CC=CC=C4
C16477,5-Fluoromuconolactone,C6H5FO4,Cytosol,47205773,CCCCN(CC(=O)N)C(=O)CSCC1=CSC(=N1)C
C16487,Hydrofluoric acid,HF,Cytosol,47205783,CCCC(=O)NCC(=O)NCCC1=CC=CC=C1OC
C16476,4-Fluoromuconolactone,C6H5FO4,Cytosol,47205772,CCCCN(CC(=O)N)C(=O)C1=CC=C(S1)CC
C18242,"2,3,5-Trichlorodienelactone",C6HCl3O4,Cytosol,103061424,CN(CC1COCCC1O)C2=CC(=CC=C2)F
C18243,"2,3,5-Trichloromaleylacetate",C6H3Cl3O5,Cytosol,103061425,C1=CC=C2C(=C1)C=NN2CC3=CN=C(C=N3)NN
C18309,3-Chloro-2-methyldienelactone,C7H5ClO4,Cytosol,103061491,CN(CC1COCCC1O)CC(COC)O
C18310,3-Chloro-2-methylmaleylacetate,C7H7ClO5,Cytosol,103061492,CCN1C=CC(=O)N(C1=O)CC2=CN=C(C=N2)NN
C18304,2-Chloro-5-methyl-cis-dienelactone,C7H5ClO4,Cytosol,103061486,C1=C(N=CC(=N1)NN)CN2C=C(C(=O)NC2=O)[N+](=O)[O-]
C18305,2-Chloro-5-methylmaleylacetate,C7H7ClO5,Cytosol,103061487,CN1C=C(C(=O)N(C1=O)CC2=CN=C(C=N2)NN)[N+](=O)[O-]
C00002,ATP,C10H16N5O13P3,Cytosol,3304,CC(=O)OC1CCC2C3CCC4(C(C3CCC2=C1)CCC4(C#C)OC(=O)C)C
C00164,Acetoacetate,C4H6O3,Cytosol,3464,C(CSC(CC(=O)O)C(=O)O)N=C(N)N
C00010,CoA,C21H36N7O16P3S,Cytosol,3312,CCOC(=O)C=C(C)C=CC=C(C)C=CC1=C(C(=C(C=C1C)OC)C)C
C00020,AMP,C10H14N5O7P,Cytosol,3322,CCCCCCCC=CCC#CC#CC(C=C)O
C00013,Diphosphate,H4P2O7,Cytosol,3315,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C4=C(C=C3)C(=CC(=C4N)S(=O)(=O)O)S(=O)(=O)O)O)C)N=NC5=C(C6=C(C=C5)C(=CC(=C6N)S(=O)(=O)O)S(=O)(=O)O)O
C00332,Acetoacetyl-CoA,C25H40N7O18P3S,Cytosol,3626,C(CCN=C(N)N)CC(C(=O)O)N
C02504,alpha-Isopropylmalate,C7H12O5,Cytosol,5516,CN(C)CCOC1=CC=C(C=C1)C(=C(CCCl)C2=CC=CC=C2)C3=CC=CC=C3
C00024,Acetyl-CoA,C23H38N7O17P3S,Cytosol,3326,CC(C)C1=C(N(N(C1=O)C2=CC=CC=C2)C)CN(C)C(C)CC3=CC=CC=C3
C00141,3-Methyl-2-oxobutanoic acid,C5H8O3,Cytosol,3441,
C00049,L-Aspartate,C4H7NO4,Cytosol,3351,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C(=O)COC4=CC=C(C=C4)Cl
C00008,ADP,C10H15N5O10P2,Cytosol,3310,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O
C03082,4-Phospho-L-aspartate,C4H8NO7P,Cytosol,5980,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O
C00441,L-Aspartate 4-semialdehyde,C4H7NO3,Cytosol,3730,CC(=O)N(CC(CO)O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I
